address,cysFLR_snapshot1,cysFLR_snapshot2,cysFLR_snapshot3,cysFLR_snapshot4,cysFLR_snapshot5,cysFLR_snapshot6,cysFLR_snapshot7,cysFLR_snapshot8,cysFLR_snapshot9,cysFLR_snapshot10,cysFLR_snapshot11,cysFLR_snapshot12,cysFLR_snapshot13,cysFLR_snapshot14,cysFLR_snapshot15,cysFLR_snapshot16,cysFLR_snapshot17,cysFLR_snapshot18,cysFLR_snapshot19,cysFLR_snapshot20,cysFLR_snapshot21,cysFLR_snapshot22,cysFLR_snapshot23,cysFLR_snapshot24,cysFLR_snapshot25,cysFLR_snapshot26,cysFLR_snapshot27,cysFLR_snapshot28,cysFLR_snapshot29,cysFLR_snapshot30,cysFLR_average,cysFLR_penalty,cysFLR_bounty,cysFLR_final,cysFLR_rewards,cyWETH_snapshot1,cyWETH_snapshot2,cyWETH_snapshot3,cyWETH_snapshot4,cyWETH_snapshot5,cyWETH_snapshot6,cyWETH_snapshot7,cyWETH_snapshot8,cyWETH_snapshot9,cyWETH_snapshot10,cyWETH_snapshot11,cyWETH_snapshot12,cyWETH_snapshot13,cyWETH_snapshot14,cyWETH_snapshot15,cyWETH_snapshot16,cyWETH_snapshot17,cyWETH_snapshot18,cyWETH_snapshot19,cyWETH_snapshot20,cyWETH_snapshot21,cyWETH_snapshot22,cyWETH_snapshot23,cyWETH_snapshot24,cyWETH_snapshot25,cyWETH_snapshot26,cyWETH_snapshot27,cyWETH_snapshot28,cyWETH_snapshot29,cyWETH_snapshot30,cyWETH_average,cyWETH_penalty,cyWETH_bounty,cyWETH_final,cyWETH_rewards,total_rewards
0x24df721bcbf7a4f40f1ac4a2289e7aa861c8e237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8145408900918775131318,7701302177968310973573,7701302177968310973573,7701302177968310973573,7701302177968310973573,7701302177968310973573,7701302177968310973573,7701302177968310973573,7701302177968310973573,7701302177968310973573,7701302177968310973573,7701302177968310973573,7701302177968310973573,7701302177968310973573,7701302177968310973573,7701302177968310973573,7701302177968310973573,7701302177968310973573,7701302177968310973573,7284328817328173911494,7284328817328173911494,7743561615598115723702,7743561615598115723702,7743561615598115723702,7743561615598115723702,7743561615598115723702,7743561615598115723702,7743561615598115723702,8160534976238252785781,8160534976238252785781,7728783566688934537203,0,0,7728783566688934537203,20665723459919515673963,20665723459919515673963
0xabca8a8b5787860aa8f6c478747314bccb702e61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6281692396305222003164,6281692396305222003164,6281692396305222003164,6281692396305222003164,6281692396305222003164,6281692396305222003164,6281692396305222003164,6281692396305222003164,6281692396305222003164,6281692396305222003164,6281692396305222003164,6281692396305222003164,6281692396305222003164,6281692396305222003164,6281692396305222003164,6281692396305222003164,6281692396305222003164,6281692396305222003164,6281692396305222003164,6281692396305222003164,6281692396305222003164,6281692396305222003164,6281692396305222003164,6281692396305222003164,6281692396305222003164,6281692396305222003164,6281692396305222003164,6281692396305222003164,6281692396305222003164,4770931424478471852379,6231333697244330331471,0,0,6231333697244330331471,16661744744509296378656,16661744744509296378656
0x1f4fb5ce1c8ec71090ca2fe5072c14d93416454d,1591070000272745782053,1591070000272745782053,1591070000272745782053,1637755831863052012029,1686205459453768394314,1782801447289708242159,1782801447289708242159,1782801447289708242159,1782801447289708242159,1825264557509226053763,1825264557509226053763,1825264557509226053763,1825264557509226053763,1825264557509226053763,1825264557509226053763,1825264557509226053763,1825264557509226053763,1825264557509226053763,1825264557509226053763,1825264557509226053763,1825264557509226053763,1825264557509226053763,1862739499478311424579,1862739499478311424579,1862739499478311424579,1862739499478311424579,1862739499478311424579,1862739499478311424579,1898382459483650554702,1898382459483650554702,1797667274825033302564,0,0,1797667274825033302564,3167834948894773344412,3714733239491218563210,3714733239491218563210,3714733239491218563210,3714733239491218563210,3714733239491218563210,3714733239491218563210,3714733239491218563210,3714733239491218563210,3714733239491218563210,3714733239491218563210,3714733239491218563210,3714733239491218563210,3714733239491218563210,3714733239491218563210,3714733239491218563210,3714733239491218563210,3714733239491218563210,3714733239491218563210,3714733239491218563210,3714733239491218563210,3714733239491218563210,3714733239491218563210,3714733239491218563210,3714733239491218563210,3714733239491218563210,3714733239491218563210,3714733239491218563210,3714733239491218563210,3714733239491218563210,3805081123789501498397,3717744835634494661049,0,0,3717744835634494661049,9940747596931462030472,13108582545826235374884
0x21ff3c05de1c752c4ab87af330f409e691302edc,6898006714433535471999,6898006714433535471999,6898006714433535471999,6898006714433535471999,6898006714433535471999,6898006714433535471999,6898006714433535471999,6898006714433535471999,6898006714433535471999,6898006714433535471999,6898006714433535471999,6898006714433535471999,6898006714433535471999,6898006714433535471999,6898006714433535471999,6898006714433535471999,6898006714433535471999,6898006714433535471999,6698006714433535471999,6698006714433535471999,6698006714433535471999,6698006714433535471999,6698006714433535471999,6698006714433535471999,6698006714433535471999,6698006714433535471999,6698006714433535471999,6698006714433535471999,6698006714433535471999,6698006714433535471999,6818006714433535471999,0,0,6818006714433535471999,12014637110131485114536,302977564211588491479,302977564211588491479,302977564211588491479,302977564211588491479,302977564211588491479,302977564211588491479,302977564211588491479,302977564211588491479,302977564211588491479,302977564211588491479,302977564211588491479,302977564211588491479,302977564211588491479,302977564211588491479,302977564211588491479,302977564211588491479,302977564211588491479,302977564211588491479,302977564211588491479,302977564211588491479,302977564211588491479,302977564211588491479,302977564211588491479,302977564211588491479,302977564211588491479,302977564211588491479,302977564211588491479,302977564211588491479,302977564211588491479,302977564211588491479,302977564211588491479,0,0,302977564211588491479,810121088594418966798,12824758198725904081334
0x45b834a360488b9a51e46f8d76e022a147b54460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4434878150235454009425,4434878150235454009425,4434878150235454009425,4434878150235454009425,4434878150235454009425,4434878150235454009425,4434878150235454009425,4434878150235454009425,4434878150235454009425,4434878150235454009425,4434878150235454009425,4434878150235454009425,4434878150235454009425,4434878150235454009425,4434878150235454009425,4449754645778356159003,4449754645778356159003,4474757771148302929451,4474757771148302929451,4474757771148302929451,4474757771148302929451,4720813413647704894744,4720813413647704894744,4720813413647704894744,4720813413647704894744,4720813413647704894744,4720813413647704894744,4720813413647704894744,4720813413647704894744,4720813413647704894744,4526967778417035940996,0,0,4526967778417035940996,12104500457736516067157,12104500457736516067157
0xed6d3fa8faee04893624dd13d3e9726f3898c0b6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4206017179307456744783,4206017179307456744783,4206017179307456744783,4206017179307456744783,4206017179307456744783,4206017179307456744783,4206017179307456744783,4206017179307456744783,4206017179307456744783,4206017179307456744783,4206017179307456744783,4206017179307456744783,4206017179307456744783,4206017179307456744783,4206017179307456744783,4206017179307456744783,4206017179307456744783,4206017179307456744783,4206017179307456744783,4206017179307456744783,4206017179307456744783,4206017179307456744783,4206017179307456744783,4206017179307456744783,4206017179307456744783,4206017179307456744783,4206017179307456744783,4206017179307456744783,4206017179307456744783,4206017179307456744783,4206017179307456744783,0,0,4206017179307456744783,11246321901141802186083,11246321901141802186083
0x04cd292e81375cb7c80ded796603f84c40a4111d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4656714169933981895677,4656714169933981895677,8206024608177930723305,2035949328824447380388,1119090760386506425776,1182739832691246524927,1182739832691246524927,1182739832691246524927,1182739832691246524927,1182739832691246524927,1182739832691246524927,1182739832691246524927,1182739832691246524927,1182739832691246524927,1182739832691246524927,2015412206757434687596,2015412206757434687596,2015412206757434687596,2015412206757434687596,2015412206757434687596,2015412206757434687596,2015412206757434687596,0,0,52096001635591961749,52096001635591961749,52096001635591961749,52096001635591961749,52096001635591961749,52096001635591961749,52096001635591961749,2067508208393026649345,2067508208393026649345,1119667076388688629984,0,0,1119667076388688629984,2993838547575995127178,11199863155753925850483
0xa92c68a323a9e079530791656bd27169a9e2a6ba,6270822608037039184819,6270822608037039184819,6270822608037039184819,6270822608037039184819,6270822608037039184819,6270822608037039184819,6270822608037039184819,6270822608037039184819,6270822608037039184819,6270822608037039184819,6270822608037039184819,6270822608037039184819,6270822608037039184819,6270822608037039184819,6270822608037039184819,6270822608037039184819,6270822608037039184819,6270822608037039184819,6270822608037039184819,6270822608037039184819,6270822608037039184819,6270822608037039184819,6270822608037039184819,6270822608037039184819,6270822608037039184819,6270822608037039184819,6270822608037039184819,6270822608037039184819,6270822608037039184819,6270822608037039184819,6270822608037039184819,0,0,6270822608037039184819,11050393637494821840959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11050393637494821840959
0xd2faa1201ef9e480721f1fbd3417adf78c6b7063,6033263384808158047810,6033263384808158047810,6033263384808158047810,6033263384808158047810,6033263384808158047810,6033263384808158047810,6033263384808158047810,6033263384808158047810,6033263384808158047810,6033263384808158047810,6033263384808158047810,6033263384808158047810,6033263384808158047810,6033263384808158047810,6033263384808158047810,6033263384808158047810,6033263384808158047810,6033263384808158047810,6033263384808158047810,6033263384808158047810,6033263384808158047810,6033263384808158047810,6033263384808158047810,6033263384808158047810,6033263384808158047810,6033263384808158047810,6033263384808158047810,6033263384808158047810,6033263384808158047810,6033263384808158047810,6033263384808158047810,0,0,6033263384808158047810,10631768667059183155841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10631768667059183155841
0x623cf57e14b12a3fd45df829de46a23b5ce9e3dd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3652608837754890337483,3652608837754890337483,3652608837754890337483,3652608837754890337483,3652608837754890337483,3652608837754890337483,3652608837754890337483,3652608837754890337483,3652608837754890337483,3652608837754890337483,3652608837754890337483,3652608837754890337483,3652608837754890337483,3652608837754890337483,3652608837754890337483,3652608837754890337483,3652608837754890337483,3652608837754890337483,3652608837754890337483,3652608837754890337483,3652608837754890337483,3652608837754890337483,3652608837754890337483,3652608837754890337483,3652608837754890337483,3652608837754890337483,3652608837754890337483,3652608837754890337483,3652608837754890337483,3652608837754890337483,3652608837754890337483,0,0,3652608837754890337483,9766582735430174298605,9766582735430174298605
