address,cysFLR_snapshot1,cysFLR_snapshot2,cysFLR_average,cysFLR_penalty,cysFLR_bounty,cysFLR_final,cysFLR_rewards,cyWETH_snapshot1,cyWETH_snapshot2,cyWETH_average,cyWETH_penalty,cyWETH_bounty,cyWETH_final,cyWETH_rewards,total_rewards
0x5f767b0e9072a796ab2be46f1e31aa9d1881dc5b,0,0,0,0,0,0,0,2617009535848336923557,2617009535848336923557,2617009535848336923557,0,0,2617009535848336923557,13441305134031341855769,13441305134031341855769
0xabca8a8b5787860aa8f6c478747314bccb702e61,0,0,0,0,0,0,0,1336230206072869839574,3802756480413591605726,2569493343243230722650,0,0,2569493343243230722650,13197255720047987786917,13197255720047987786917
0xc9845e7334edaddb067b71e2169ab2443b27bf75,0,0,0,0,0,0,0,1894583302370834448158,2458880793551307114742,2176732047961070781450,0,0,2176732047961070781450,11179982056192739918986,11179982056192739918986
0x8f65d27c67f4aec557059d9a113ad95b7869bb59,1875755048928636704578,1875755048928636704578,1875755048928636704578,0,0,1875755048928636704578,4971165509471213252696,1440159832342929091411,740159832342929091411,1090159832342929091411,0,0,1090159832342929091411,5599204263745927833517,10570369773217141086213
0x9f19fd85015a98c8ea491d2c713e322bb8e097a2,0,0,0,0,0,0,0,2601025432640849119961,1501025432640849119961,2051025432640849119961,0,0,2051025432640849119961,10534336348471742541038,10534336348471742541038
0xc8f3dc95a6678d9db2e0a5b35ccbb51785e69753,0,0,0,0,0,0,0,1849858751679419597619,2175423403994834972808,2012641077837127285213,0,0,2012641077837127285213,10337189254346806638846,10337189254346806638846
0x3c1c84132dfdef572e74672917700c065581871d,394046998157043853169,394046998157043853169,394046998157043853169,0,0,394046998157043853169,1044311647977597237238,1779886100959102894372,1779886100959102894372,1779886100959102894372,0,0,1779886100959102894372,9141729083939830071944,10186040731917427309182
0x55f6c45ba5c2e4c4cf5d764be8cc699c8d2767fc,3720767618045333303675,3720767618045333303675,3720767618045333303675,0,0,3720767618045333303675,9860856651911389926814,0,0,0,0,0,0,0,9860856651911389926814
0x0c0577ab2b70cce459a1e8509e3d16986b8f6836,3662998839822665669906,3662998839822665669906,3662998839822665669906,0,0,3662998839822665669906,9707756620012852411717,0,0,0,0,0,0,0,9707756620012852411717
0x66b6279cfa615a2fbd6f851327ecad2109a77b1e,0,0,0,0,0,0,0,1724405585849594758526,1724405585849594758526,1724405585849594758526,0,0,1724405585849594758526,8856773862201061319348,8856773862201061319348
0x80ed9a16f42e38c6ebf43d19b1e2c3dfdb34788f,3188297972429332273717,3188297972429332273717,3188297972429332273717,0,0,3188297972429332273717,8449694390272541302462,0,0,0,0,0,0,0,8449694390272541302462
0xef00c0312cf953d6b8978ede3df96de2f3d9496a,696401844980520190803,696401844980520190803,696401844980520190803,0,0,696401844980520190803,1845618826656822166719,1250887660616053707184,1250887660616053707184,1250887660616053707184,0,0,1250887660616053707184,6424723526765708649370,8270342353422530816089
0x1788d36782acd0af00b78d47037c2e03a13cf252,824856774405140569054,824856774405140569054,824856774405140569054,0,0,824856774405140569054,2186052784194060385280,1067098719033975289200,1067098719033975289200,1067098719033975289200,0,0,1067098719033975289200,5480759353068276039337,7666812137262336424617
0x1347e2a53f74a8794833d31260f7742684ffb894,0,0,0,0,0,0,0,2857320503649214815012,0,1428660251824607407506,0,0,1428660251824607407506,7337786933745997866419,7337786933745997866419
0x81c4c93ceee4e9959ce71d6d906198b2bd7176fd,1099686193203429858250,1099686193203429858250,1099686193203429858250,0,0,1099686193203429858250,2914411494196420232223,825223433318116130102,825223433318116130102,825223433318116130102,0,0,825223433318116130102,4238456077075823966959,7152867571272244199182
0x4876ab76a3af12b375c19e76cb0cbb45ce023fe8,0,0,0,0,0,0,0,1297132398082341026918,1297132398082341026918,1297132398082341026918,0,0,1297132398082341026918,6662242579949457601850,6662242579949457601850
0xa11e7ae3ffebfbae7fe2eea4d8c05d89ac7c6ea1,550335954410115334730,3334272022438535553346,1942303988424325444038,0,0,1942303988424325444038,5147534909570554667103,220329657974425610965,224464893442325394007,222397275708375502486,0,0,222397275708375502486,1142261655078206940250,6289796564648761607353
0x603fe4b88d2bf59247fac064b44a79cfc7de14b1,0,0,0,0,0,0,0,1207640232063891813172,1207640232063891813172,1207640232063891813172,0,0,1207640232063891813172,6202599046335265391900,6202599046335265391900
0xb4778d16e1f8159c033e5452c4ad9a2396746702,2141861372415471135955,2321946591570222264224,2231903981992846700089,0,0,2231903981992846700089,5915038907703569776861,0,0,0,0,0,0,0,5915038907703569776861
0x44a72b9e0f74efdc57e95e4dc52715d9433bb056,0,0,0,0,0,0,0,674273578634155221961,1541163441663806044477,1107718510148980633219,0,0,1107718510148980633219,5689387942065914016716,5689387942065914016716
0xda614b9fc056430e890bdd6a4c0df9e2b351643b,2074580945079942354917,2074580945079942354917,2074580945079942354917,0,0,2074580945079942354917,5498098084117146958787,0,8275578171528056810,4137789085764028405,0,0,4137789085764028405,21252228897205694292,5519350313014352653079
0xb5e44b60ae2b0a00e607dcfeadd356a3610be9c0,2121979645202912511309,2000434805434185649809,2061207225318549080559,0,0,2061207225318549080559,5462654770530362535892,0,0,0,0,0,0,0,5462654770530362535892
0xf3d5f8b23d3361d08face1e9ed0d4a70ad654275,14430088962491088452,14430088962491088452,14430088962491088452,0,0,14430088962491088452,38242925476814794903,1002151913185576380787,1058085565932759989210,1030118739559168184998,0,0,1030118739559168184998,5290825315319357284522,5329068240796172079425
0xc14556021bd7fc705c20157f5b46e540698a9b62,1999407145181199355024,1999407145181199355024,1999407145181199355024,0,0,1999407145181199355024,5298870897451187307214,0,0,0,0,0,0,0,5298870897451187307214
0xea04812dd7467ed61fdf3180ce6271e8828e72de,1802984555424698007851,1802984555424698007851,1802984555424698007851,0,0,1802984555424698007851,4778307615994876939985,0,0,0,0,0,0,0,4778307615994876939985
0x820e9b01dd1fa16e9cb79ae54c6a66da4abf9562,0,0,0,0,0,0,0,927560733946113358969,927560733946113358969,927560733946113358969,0,0,927560733946113358969,4764073911283717673004,4764073911283717673004
0x94af5cc0498df9334109fd74a3e7fc96f0c82cef,1623485990876466942023,1368485990876466942023,1495985990876466942023,0,0,1495985990876466942023,3964693558865714754854,152999292875094147983,152999292875094147983,152999292875094147983,0,0,152999292875094147983,785824488850600975918,4750518047716315730772
0x625da507435458d1a95fc719fe5553ccce9f1cfa,1747441478677237410915,1747441478677237410915,1747441478677237410915,0,0,1747441478677237410915,4631106184990015795191,0,0,0,0,0,0,0,4631106184990015795191
0xf5dcee91409cf103f84b209425aacfba335d6bf3,589000000007288696434,589000000007288696434,589000000007288696434,0,0,589000000007288696434,1560980196634499163264,589001517533309156683,589001517533309156683,589001517533309156683,0,0,589001517533309156683,3025189252513113232003,4586169449147612395267
0xc43a5c7c55ff4ce40c54d8350803041e95084adb,1694237319130583078480,1694237319130583078480,1694237319130583078480,0,0,1694237319130583078480,4490103401577652434888,0,0,0,0,0,0,0,4490103401577652434888
0x822c3175b8331a4c6130307677408bb2b7f12b6d,1227469264040420951835,0,613734632020210475917,0,0,613734632020210475917,1626532438982096492281,1111167073132643229766,0,555583536566321614883,0,0,555583536566321614883,2853550107531960732139,4480082546514057224420
0x078255d40df5b1834d1fbbf80c6549ce54d1e5c7,1664977610359148074392,1664977610359148074392,1664977610359148074392,0,0,1664977610359148074392,4412558705565873839190,0,0,0,0,0,0,0,4412558705565873839190
0x0e9b063789909565ceda1fba162474405a151e66,153991929821024534844,294451449268618153418,224221689544821344131,0,0,224221689544821344131,594237040799768478010,552333264702436173012,885533466049747754085,718933365376091963548,0,0,718933365376091963548,3692536310122225276067,4286773350921993754077
0x28de514641034f2d900cf17c25cefbfec851559a,1554577249696942155653,1554577249696942155653,1554577249696942155653,0,0,1554577249696942155653,4119973346155216359692,0,0,0,0,0,0,0,4119973346155216359692
0xbc557a9b2b30502bb28d96af5f8fbf64d85bc22b,0,0,0,0,0,0,0,798675318906982174744,798675318906982174744,798675318906982174744,0,0,798675318906982174744,4102101470168535170875,4102101470168535170875
0xae691ca8dda0e327349a95e994aa503fb0635d54,0,0,0,0,0,0,0,760450304566345380324,760450304566345380324,760450304566345380324,0,0,760450304566345380324,3905772769616563308563,3905772769616563308563
0xc79d9ce6bf7e5f38115d52e93f856f8f67a76cb1,1468340810555253161074,1468340810555253161074,1468340810555253161074,0,0,1468340810555253161074,3891427720133506839628,0,0,0,0,0,0,0,3891427720133506839628
0x5009b4aea75a2d8bed5dcc2d53700941a6e5209f,949848741244104035684,949848741244104035684,949848741244104035684,0,0,949848741244104035684,2517309125402215842051,239523192512420983071,240889174200353279599,240206183356387131335,0,0,240206183356387131335,1233730546773747628363,3751039672175963470414
0xcb43fb65b1700ba710d37e8a310299a962c6a0c8,0,0,0,0,0,0,0,721835921424553340966,721835921424553340966,721835921424553340966,0,0,721835921424553340966,3707444219696712442174,3707444219696712442174
0x9376cd921c608adb895238a93580123c337bf1c2,0,0,0,0,0,0,0,0,1424508689205118677393,712254344602559338696,0,0,712254344602559338696,3658231981084125525436,3658231981084125525436
0x6d04683250c103f5960b5dd6972c5a8a974c430c,1240726635445674335456,1500515742193390134521,1370621188819532234988,0,0,1370621188819532234988,3632449121915872012389,0,0,0,0,0,0,0,3632449121915872012389
0xea17eb024cc7166a52526456aef455bd80a1b5f7,1316890633929502006295,1316890633929502006295,1316890633929502006295,0,0,1316890633929502006295,3490051274485511668980,0,0,0,0,0,0,0,3490051274485511668980
0xa281c46bef794568c60494bc3c4e9f2d677381b3,1301239461341204384070,1301239461341204384070,1301239461341204384070,0,0,1301239461341204384070,3448572207483577921559,0,0,0,0,0,0,0,3448572207483577921559
0xcb9684474f109e177fb7d4c600d74a1eeb9c907c,1284460074509015766778,1284460074509015766778,1284460074509015766778,0,0,1284460074509015766778,3404103123347088970491,0,0,0,0,0,0,0,3404103123347088970491
0x928797d6aab0e15371cddd3f5d15c1cf4da98f16,0,0,0,0,0,0,0,0,1325206637225661585680,662603318612830792840,0,0,662603318612830792840,3403217782089499421050,3403217782089499421050
0xbb55ab740cda50ee9caacddeae3a1ecc2c99d868,0,0,0,0,0,0,0,499223445121252525706,768495984629198588407,633859714875225557056,0,0,633859714875225557056,3255586853276855658741,3255586853276855658741
0x648537ece8c8022208212a61dc41441bd0dea23f,487900051460622237649,487900051460622237649,487900051460622237649,0,0,487900051460622237649,1293042985157147306317,373052719445294245031,373052719445294245031,373052719445294245031,0,0,373052719445294245031,1916047826520025733824,3209090811677173040141
